Country,ISO-code,Fertility,Life expectancy,Population growth,Sex-ratio,Suicide rate,Urbanization rate,Median age,Year
Afghanistan,AFG,4.5,64.5,2.41,1.03,6.4,26,27.4,2020
Albania,ALB,1.6,,0.26,0.98,5.6,62.1,32.9,2020
Algeria,DZA,3,76.7,1.89,1.03,3.3,73.7,28.1,2020
Andorra,AND,1.3,81.8,0.63,1.06,,87.9,44.3,2020
Angola,AGO,5.5,60.8,3.12,0.95,8.9,66.8,15.9,2020
Antigua and Barbuda,ATG,2,76.9,1.03,0.89,0.5,24.4,31.9,2020
Argentina,ARG,2.3,76.5,0.88,0.98,9.1,92.1,31.7,2020
Armenia,ARM,1.8,74.9,0.17,0.95,5.7,63.3,35.1,2020
Aruba,ABW,1.9,,0.44,0.9,,43.7,39.3,2020
Australia,AUS,1.7,83.3,1.6,0.99,11.7,86.2,38.7,2020
Austria,AUT,1.5,81.4,0.46,0.96,11.4,58.7,44,2020
Azerbaijan,AZE,1.7,72.9,1.35,0.98,2.6,56.4,32.3,2020
Bahrain,BHR,2,77.2,1.92,1.53,5.7,89.5,32.3,2020
Bangladesh,BGD,2,72.3,1.19,0.97,6.1,38.2,26.7,2020
Barbados,BRB,1.6,79.1,0.5,0.94,0.4,31.2,38.6,2020
Belarus,BLR,1.4,74.6,-0.1,0.87,21.4,79.5,40,2020
Belgium,BEL,1.6,81.5,0.85,0.97,15.7,98.1,41.4,2020
Belize,BLZ,2.3,74.5,2.43,1,5.9,46,22.7,2020
Benin,BEN,4.8,61.5,2.73,0.97,15.7,48.4,18.2,2020
Bermuda,BMU,1.6,,0.37,0.94,,100,43.4,2020
Bhutan,BTN,2,71.5,1.68,1.08,11.6,42.3,27.6,2020
Bolivia,BOL,2.7,71.2,1.65,0.98,12.9,70.1,24.3,2020
Bosnia and Herzegovina,BIH,1.3,77.3,-0.14,0.95,6.4,49,42.1,2020
Botswana,BWA,2.9,69.3,0.86,0.93,11.5,70.9,24.5,2020
